No,Sheet,Item,Owner,Status
52,베뉴 시설,"⊙ 전기 취사도구, 다리미 등 전열제품 등에 인접한",TBD,open
53,베뉴 시설,⊙ 전시 스탠드 간 통로 폭 3m 이상 확보 ⊙ 위험물 반 · 출입 시 위험물 반출입 허가신청서,TBD,open
54,베뉴 시설,- 시공관리업체는 공사 15일전까지 가스안전관리공단에 공사승인신청서 제출,TBD,open
55,베뉴 시설,- 시공업체는 공사 7일전까지 킨텍스 시설운영팀에 공사승인신청서 제출,TBD,open
56,베뉴 시설,기재 도면 60%이상 시공할 수 없음 개문 시 시공부스에 및 홀매니저 승인,TBD,open
57,베뉴 시설,⊙ 제1(2)전시장 광고물 설치(변경)신청서 ⊙ 전시홀 내 변형된 광고싸인물(사각현수막)설치는 사전에,TBD,open
58,베뉴 시설,"safetyDocuments: ⊙ 전시 스탠드 간 통로 폭 3m 이상 확보 ⊙ 위험물 반 · 출입 시 위험물 반출입 허가신청서 (data/markdown/venue-manuals/kintex-safety-education.md:578, confidence 0.95)",TBD,open
59,베뉴 시설,"safetyDocuments: - 시공관리업체는 공사 15일전까지 가스안전관리공단에 공사승인신청서 제출 (data/markdown/venue-manuals/kintex-safety-education.md:744, confidence 0.95)",TBD,open
60,베뉴 시설,"safetyDocuments: - 시공업체는 공사 7일전까지 킨텍스 시설운영팀에 공사승인신청서 제출 (data/markdown/venue-manuals/kintex-safety-education.md:745, confidence 0.95)",TBD,open
61,베뉴 시설,"freightEntrance: ⊙ 전시 스탠드 간 통로 폭 3m 이상 확보 ⊙ 위험물 반 · 출입 시 위험물 반출입 허가신청서 (data/markdown/venue-manuals/kintex-safety-education.md:578, confidence 0.9)",TBD,open
62,베뉴 시설,"loadingDock: ⊙ 전시 스탠드 간 통로 폭 3m 이상 확보 ⊙ 위험물 반 · 출입 시 위험물 반출입 허가신청서 (data/markdown/venue-manuals/kintex-safety-education.md:578, confidence 0.9)",TBD,open
63,베뉴 시설,"restrictedItems: ⊙ 전시 스탠드 간 통로 폭 3m 이상 확보 ⊙ 위험물 반 · 출입 시 위험물 반출입 허가신청서 (data/markdown/venue-manuals/kintex-safety-education.md:578, confidence 0.9)",TBD,open
64,베뉴 시설,"boothRules: ⊙ 전시 스탠드 간 통로 폭 3m 이상 확보 ⊙ 위험물 반 · 출입 시 위험물 반출입 허가신청서 (data/markdown/venue-manuals/kintex-safety-education.md:578, confidence 0.9)",TBD,open
65,베뉴 시설,"restrictedItems: - 시공관리업체는 공사 15일전까지 가스안전관리공단에 공사승인신청서 제출 (data/markdown/venue-manuals/kintex-safety-education.md:744, confidence 0.9)",TBD,open
66,베뉴 시설,"boothRules: - 시공관리업체는 공사 15일전까지 가스안전관리공단에 공사승인신청서 제출 (data/markdown/venue-manuals/kintex-safety-education.md:744, confidence 0.9)",TBD,open
67,베뉴 시설,"foodRules: - 시공관리업체는 공사 15일전까지 가스안전관리공단에 공사승인신청서 제출 (data/markdown/venue-manuals/kintex-safety-education.md:744, confidence 0.9)",TBD,open
